E-20-134-NS-30;PARADA 4 / (M) IRARRAZAVAL;-33.4551412009588;-70.6300614730482
E-20-174-NS-10;PARADA 2 / ESTACION MAPOCHO;-33.4324894958518;-70.6530532846551
E-20-174-NS-5;PARADA 1 / ESTACION MAPOCHO;-33.4325938167088;-70.653345671025
E-20-185-NS-5;PARADA 6 / PLAZA ITALIA;-33.4381216303117;-70.6363798801877
E-20-188-NS-25;PARADA 6 / (M) LOS HEROES;-33.4471497394979;-70.6607326570108
E-20-188-NS-45;PARADA 3 / (M) PARQUE O HIGGINS;-33.4609647084285;-70.6574347505771
E-20-188-SN-30;PARADA 2 / (M) PARQUE O HIGGINS;-33.4608857660705;-70.6565940192445
E-20-188-SN-55;PARADA 5 / (M) LOS HEROES;-33.4470318713506;-70.660106468072
E-20-189-OP-40;PARADA 1 / (M) PARQUE O HIGGINS;-33.4602868328295;-70.6568731250406
E-20-189-PO-5;PARADA 4 / (M) PARQUE O HIGGINS;-33.4606479012555;-70.6568477174466
E-20-190-SN-40;PARADA 3 / MERCADO CENTRAL;-33.4337860910141;-70.6477859181593
E-20-190-SN-5;PARADA 1 / (M) SANTA LUCIA;-33.4420309717019;-70.6462637154219
E-20-192-OP-5;PARADA 1 / PLAZA ITALIA;-33.4367952007682;-70.6357526165981
E-20-196-SN-20;PARADA 4 / (M) REPUBLICA;-33.449242703167;-70.668066403403
E-20-199-NS-2;PARADA 7 / MERCADO CENTRAL;-33.433462534841;-70.6490597622569
E-20-199-NS-25;PARADA 11 / (M) SANTA LUCIA;-33.4419733338945;-70.6478869373754
E-20-202-NS-2;PARADA 9 / (M) LA MONEDA;-33.4454900574411;-70.6573877308164
E-20-203-NS-35;PARADA 1 / (M) LA MONEDA;-33.4447314239281;-70.6574701158154
E-20-205-SN-55;PARADA 7 / (M) SANTA LUCIA;-33.4437590249935;-70.6458445598267
E-20-205-SN-60;PARADA 8 / (M) SANTA LUCIA;-33.4434962759849;-70.6459364117293
E-20-205-SN-65;PARADA 6 / (M) SANTA LUCIA;-33.4431635405993;-70.6458655833882
E-20-289-PO-5;PARADA 9 / ESTACION MAPOCHO;-33.4332357970389;-70.6538956443514
E-20-290-OP-10;PARADA 5 / ESTACION MAPOCHO;-33.4328450157038;-70.6500591337921
E-20-290-OP-15;PARADA 4 / ESTACION MAPOCHO;-33.4325413303947;-70.6511935056188
E-20-290-OP-20;PARADA 3 / ESTACION MAPOCHO;-33.4328784733493;-70.6529638581679
E-20-290-OP-4;PARADA 2 / MERCADO CENTRAL;-33.433556818726;-70.6473943685277
E-20-290-OP-5;PARADA 1 / MERCADO CENTRAL;-33.4332739054663;-70.6483247892427
E-20-291-PO-10;PARADA 7 / ESTACION MAPOCHO;-33.4331017367138;-70.6524518078701
E-20-291-PO-15;PARADA 6 / ESTACION MAPOCHO;-33.432968646388;-70.6522879463248
E-20-291-PO-20;PARADA 4 / MERCADO CENTRAL;-33.434115538592;-70.6481040716805
E-20-291-PO-5;PARADA 8 / ESTACION MAPOCHO;-33.4331622689577;-70.6526465620551
E-20-53-OP-10;PARADA 10 / PLAZA ITALIA;-33.4373025887606;-70.6362569371896
E-20-53-OP-100;PARADA 1 / (M) LOS HEROES;-33.446476447057;-70.663194059166
E-20-53-OP-105;PARADA 1 / (M) REPUBLICA;-33.4474099238663;-70.6668802415842
E-20-53-OP-110;PARADA 6 / (M) REPUBLICA;-33.4477210432209;-70.6678866597468
E-20-53-OP-125;PARADA 3 / (M) ESTACION CENTRAL;-33.4502358636636;-70.6773372939602
E-20-53-OP-130;PARADA 2 / (M) ESTACION CENTRAL;-33.4505188289148;-70.6784185441596
E-20-53-OP-15;PARADA 9 / PLAZA ITALIA;-33.4376346942199;-70.6370591541771
E-20-53-OP-30;PARADA 3 / (M) SANTA LUCIA;-33.4424315084031;-70.6453031450268
E-20-53-OP-35;PARADA 2 / (M) SANTA LUCIA;-33.4425938191752;-70.6459839074117
E-20-53-OP-40;PARADA 12 / (M) SANTA LUCIA;-33.4428663337874;-70.6471938545466
E-20-53-OP-45;PARADA 10 / (M) SANTA LUCIA;-33.4430863132611;-70.6482844863798
E-20-53-OP-5;PARADA 11 / PLAZA ITALIA;-33.4371051513733;-70.6355002790846
E-20-53-OP-65;PARADA 4 / (M) LA MONEDA;-33.4446254972618;-70.6552736047145
E-20-53-OP-70;PARADA 3 / (M) LA MONEDA;-33.4447526938539;-70.6558784328486
E-20-53-OP-75;PARADA 2 / (M) LA MONEDA;-33.4449149453185;-70.6565592307326
