1er_nivel 2do_nivel PageRank Nombre Codigo latitud longitud id_pajek
1 77 0.00105248 "SIMON BOLIVAR" -33.445905 -70.572037 88
1 78 0.000959757 "BARRANCAS" -33.452915 -70.739112 2
1 79 0.000942406 "LOS QUILLAYES" -33.560626 -70.585286 47
1 80 0.00094179 "LOS ORIENTALES" -33.462455 -70.573793 45
1 81 0.000913461 "LAGUNA SUR" -33.462372 -70.737922 34
1 82 0.000838677 "TRINIDAD" -33.547019 -70.587655 91
1 83 0.000838297 "CEMENTERIOS" -33.414073 -70.643565 9
1 84 0.000795527 "LAS TORRES" -33.500033 -70.587074 39
1 85 0.000791243 "CIUDAD DEL NINO" -33.510163 -70.656859 11
1 86 0.000785066 "EL PARRON" -33.526531 -70.661422 22
1 87 0.000771316 "NEPTUNO" -33.451544 -70.722687 54
1 88 0.000739954 "LAS PARCELAS" -33.475204 -70.739753 37
1 89 0.00073026 "PROTECTORA DE LA INFANCIA" -33.589288 -70.579706 67
1 90 0.000712174 "SAN JOSE DE LA ESTRELLA" -33.553356 -70.586562 78
1 91 0.000691888 "BLANQUEADO" -33.441505 -70.707321 5
1 92 0.000655514 "MONTE TABOR" -33.48226 -70.745463 53
1 93 0.000616708 "LOS PRESIDENTES" -33.479797 -70.578716 46
1 94 0.000615918 "SANTIAGO BUERAS" -33.496835 -70.757123 87
1 95 0.000593176 "ROJAS MAGALLANES" -33.535854 -70.592776 73
1 96 0.000543159 "DEL SOL" -33.49006 -70.752861 14
1 97 0.000402385 "SAN RAMON" -33.541302 -70.642461 81
1 98 0.000373494 "LO PRADO" -33.443298 -70.716412 41
1 99 0.00036039 "LA GRANJA" -33.541138 -70.615967 33
1 100 0.000287771 "SANTA JULIA" -33.531106 -70.605496 84
2 1 0.00108371 "SAN F. DE ASIS / NUEVA LAS CONDES" -33.3735866482162 -70.5178476128014 393
2 2 0.00106689 "PARADA 1 / NUDO ESTORIL" -33.3844564389552 -70.5345165266658 372
2 3 0.000953776 "COLEGIO HEBREO" -33.3706492038484 -70.5102403874108 2427
2 4 0.00090041 "PARADA 1 / (M) BILBAO" -33.4311311510619 -70.585104993315 1900
2 5 0.000726505 "ABADIA / AV. LAS CONDES" -33.3921016981666 -70.5427142088419 369
2 6 0.000630571 "C. SAN ANTONIO / AV. LAS CONDES" -33.3709715589915 -70.5119119839339 2426
2 7 0.000615735 "E. DE BALAGUER / AV. LAS CONDES" -33.3652485108563 -70.4959706288431 2369
2 8 0.000610722 "MAYFLOWER - DUNALASTAIR" -33.3744338381117 -70.5208397925838 377
2 9 0.000608072 "SAN F. DE ASIS / AV. LAS CONDES" -33.3731078451561 -70.5179145363161 2430
2 10 0.000590014 "U. DEL PACIFICO" -33.3783658797083 -70.5281856123311 375
2 11 0.000577337 "PARADA 4 / (M) ESCUELA MILITAR" -33.4135469220211 -70.5821507572601 302
2 12 0.000570381 "AV. LA DEHESA / RAUL LABBE" -33.3648535596148 -70.5151487021542 360
2 13 0.000553983 "PARADA 3 / (M) PEDRO DE VALDIVIA" -33.4256359913998 -70.6140008607564 1478
2 14 0.000485092 "4 VIENTOS / PADRE ALFREDO ARTEAGA" -33.3589415996022 -70.5096189585594 1993
2 15 0.000468244 "EL GABINO / PADRE ALFREDO ARTEAGA" -33.353165800577 -70.5106798375016 1992
2 16 0.000451459 "FARELLONES / AV. LAS CONDES" -33.368689637266 -70.5022742920816 2429
2 17 0.000425607 "PORTAL LA DEHESA" -33.3588793189433 -70.516947374971 332
2 18 0.000420084 "PARADA 4 / (M) MANQUEHUE" -33.4095407602329 -70.5695291551712 383
2 19 0.000391083 "AV. LA DEHESA / AV. PASEO PIE ANDINO" -33.3265780617387 -70.5188796996894 8746
2 20 0.000386255 "LOS CACTUS / AV. LA DEHESA" -33.3556453043734 -70.517385606161 331
2 21 0.000383462 "PARADA 1 / MALL PARQUE ARAUCO" -33.4013003765317 -70.5785740422465 1270
2 22 0.000383453 "AV. LO BARNECHEA / RAUL LABBE" -33.3615584526733 -70.505042771169 2382
2 23 0.000372425 "LA CABANA / AV. LAS CONDES" -33.3715156384399 -70.5138883942518 2425
2 24 0.000310629 "PADRE ARTEAGA / RAUL LABBE" -33.3624051847641 -70.5080988940245 2381
2 25 0.000285117 "SAN JOSE DE LA S. / AV. LAS CONDES" -33.3698327836682 -70.5046908431038 2428
2 26 0.000283893 "J. E. DE BALAGUER / SAN FRANCISCO DE ASIS" -33.3715526416445 -70.5182422223536 480
2 27 0.000283181 "SAN DAMIAN / AV. LAS CONDES" -33.3766346167857 -70.5259624866099 376
2 28 0.000277622 "PARADA 5 / ESTACION MAPOCHO" -33.4328450157038 -70.6500591337921 241
2 29 0.000275523 "SAN ENRIQUE / AV. LAS CONDES" -33.3634291874705 -70.493521267434 2370
2 30 0.00023403 "LOS QUINCHEROS / NIDO DE AGUILAS" -33.3539025912236 -70.5049647074296 2379
